,Alternative proteins & AgTech,Batteries & storage,Bioproducts & bioenergy,BuildingTech,CCUS,Clean hydrogen,Low-carbon electricity ,Low-carbon transport,MiningTech,Annual business deals
2010, $1.37 , $6.09 , $215.81 , $25.16 , $-   , $44.50 , $114.65 , $17.44 , $-   ,47
2011, $1.44 , $3.50 , $336.04 , $3.37 , $3.37 , $-   , $171.74 , $1.01 , $0.04 ,46
2012, $39.21 , $51.05 , $209.40 , $11.40 , $16.78 , $-   , $113.76 , $96.52 , $13.23 ,67
2013, $22.68 , $23.11 , $697.45 , $40.64 , $17.08 , $-   , $139.08 , $2.90 , $4.35 ,81
2014, $23.88 , $25.44 , $35.66 , $3.54 , $20.33 , $14.49 , $285.25 , $4.43 , $6.24 ,88
2015, $25.62 , $35.12 , $233.57 , $258.52 , $2.50 , $-   , $366.19 , $5.76 , $3.25 ,86
2016, $111.21 , $11.13 , $84.98 , $36.37 , $18.78 , $5.00 , $115.16 , $34.31 , $8.19 ,117
2017, $31.15 , $176.55 , $153.69 , $0.65 , $28.08 , $126.38 , $564.13 , $34.31 , $15.22 ,150
2018, $71.62 , $24.51 , $167.46 , $111.43 , $19.10 , $3.43 ," $1,780.67 ", $34.19 , $86.44 ,144
2019, $81.31 , $305.60 , $359.14 , $95.45 , $122.43 , $188.55 , $184.73 , $39.17 , $16.60 ,142
2020, $221.75 , $15.78 , $116.91 , $110.58 , $8.05 , $5.53 ," $1,535.59 ", $197.93 , $74.78 ,164
