Row Labels,Oil and gas extraction,Mining and quarrying (except oil and gas),Support activities for mining and oil and gas extraction,Emissions-intensive manufacturing,Transportation equipment manufacturing
Yukon,0.0006,0.0114,0.0125,0.002,0.0006
British Columbia,0.0028,0.005,0.0044,0.011,0.0043
New Brunswick,0.0035,0.0048,0.0046,0.0127,0.0023
Prince Edward Island,0.0015,0.0009,0.0044,0.0107,0.0121
Nova Scotia,0.0029,0.0023,0.0046,0.0167,0.0099
Manitoba,0.001,0.006,0.0025,0.0165,0.0139
Quebec,0.0001,0.0041,0.0014,0.024,0.0138
Nunavut,0.0008,0.0379,0.0053,0,0
Ontario,0.0005,0.0035,0.0013,0.0222,0.0231
Newfoundland and Labrador,0.0103,0.0138,0.019,0.011,0.0038
Saskatchewan,0.0075,0.0215,0.0168,0.0123,0.0023
Northwest Territories,0.0038,0.0547,0.0101,0.001,0.0005
Alberta,0.0364,0.0027,0.0329,0.0169,0.0018
