province,min_unemp_rate,max_unemp_rate,min_type,max_type,average
Newfoundland and Labrador,4.6,23.5,Filipino,Arab,15.6
New Brunswick,6,16.8,Filipino,Black,11.2
Nova Scotia,3.4,16.2,Korean,Black,10
Prince Edward Island,5.3,16.5,Latin American,Black,12.3
Quebec,6.5,14,Filipino,West Asian,7.2
Ontario,5.3,13.5,Filipino,Arab,7.4
Manitoba,4.6,10.9,Filipino,Black,6.7
Saskatchewan,3.6,13.3,Filipino,Arab,7.1
Alberta,6.1,14.6,Filipino,West Asian,9
British Columbia,4.1,11,Filipino,Arab,6.7
Yukon,5.2,14.3,Filipino,Southeast Asian,9.2
Northwest Territories,2.4,10.5,South Asian,Latin American,10.6
Canada,5.2,13.5,Filipino,Arab,7.7
