place,sector,employment,proportion
"Wood Buffalo, AB",211 Oil and gas extraction,11340,0.253662901
"Thompson, MB",212 Mining and quarrying (except oil and gas),1180,0.157438292
"Tillsonburg, ON",336 Transportation equipment manufacturing,1025,0.141966759
"Ingersoll, ON",336 Transportation equipment manufacturing,925,0.134155185
"Woodstock, ON",336 Transportation equipment manufacturing,2445,0.115302995
"Timmins, ON",212 Mining and quarrying (except oil and gas),2520,0.114754098
"Lloydminster, SK",213 Support activities for mining and oil and gas extraction,875,0.101331789
"Lloydminster, AB",213 Support activities for mining and oil and gas extraction,1120,0.100764732
"Sylvan Lake, AB",213 Support activities for mining and oil and gas extraction,850,0.099183197
"Windsor, ON",336 Transportation equipment manufacturing,14755,0.094007837
"Stratford, ON",336 Transportation equipment manufacturing,1535,0.089923843
"Sorel-Tracy, QC",331 Primary metal manufacturing,1620,0.088427948
"Estevan, SK",213 Support activities for mining and oil and gas extraction,715,0.088271605
"Cold Lake, AB",211 Oil and gas extraction,785,0.087709497
"Grande Prairie, AB",213 Support activities for mining and oil and gas extraction,3270,0.087072294
"Val-d'Or, QC",212 Mining and quarrying (except oil and gas),1495,0.08535541
"Fort St. John, BC",213 Support activities for mining and oil and gas extraction,1415,0.084578601
"Brooks, AB",213 Support activities for mining and oil and gas extraction,970,0.075135554
"Guelph, ON",336 Transportation equipment manufacturing,6280,0.072921505
"Sault Ste. Marie, ON",331 Primary metal manufacturing,2585,0.070667031
"Rouyn-Noranda, QC",212 Mining and quarrying (except oil and gas),1515,0.069976905
"Weyburn, SK",213 Support activities for mining and oil and gas extraction,400,0.069686411
"Cold Lake, AB",213 Support activities for mining and oil and gas extraction,610,0.068156425
"Sudbury, ON",212 Mining and quarrying (except oil and gas),5410,0.064852553
"Baie-Comeau, QC",331 Primary metal manufacturing,870,0.063994115
"Lloydminster, AB",211 Oil and gas extraction,695,0.062528115
"Sept-Îles, QC",331 Primary metal manufacturing,825,0.057935393
"Yellowknife, NWT",212 Mining and quarrying (except oil and gas),710,0.056551175
"Red Deer, AB",213 Support activities for mining and oil and gas extraction,3115,0.054716318
"Williams Lake, BC",212 Mining and quarrying (except oil and gas),500,0.052410901
"Val-d'Or, QC",213 Support activities for mining and oil and gas extraction,905,0.051669997
"Norfolk, ON",336 Transportation equipment manufacturing,1450,0.04698639
"Medicine Hat, AB",213 Support activities for mining and oil and gas extraction,1855,0.046737213
"Centre Wellington, ON",336 Transportation equipment manufacturing,700,0.046419098
"Leamington, ON",336 Transportation equipment manufacturing,1035,0.04579646
"Fort St. John, BC",211 Oil and gas extraction,765,0.04572624
"Dawson Creek, BC",213 Support activities for mining and oil and gas extraction,295,0.044832827
"Kitchener - Cambridge - Waterloo, ON",336 Transportation equipment manufacturing,12720,0.044626099
"Estevan, SK",212 Mining and quarrying (except oil and gas),360,0.044444444
"Lacombe, AB",213 Support activities for mining and oil and gas extraction,295,0.043736101
"Kentville, NS",326 Plastics and rubber products manufacturing,550,0.042951972
"Lloydminster, SK",211 Oil and gas extraction,370,0.042848871
"Elliot Lake, ON",212 Mining and quarrying (except oil and gas),145,0.042584435
"Sept-Îles, QC",212 Mining and quarrying (except oil and gas),600,0.042134831
"Calgary, AB",211 Oil and gas extraction,33605,0.041999163
"Weyburn, SK",211 Oil and gas extraction,235,0.040940767
"Rouyn-Noranda, QC",213 Support activities for mining and oil and gas extraction,880,0.040646651
"Saguenay, QC",331 Primary metal manufacturing,3135,0.040493413
"Sarnia, ON",325 Chemical manufacturing,1835,0.040236816
"Summerside, PEI",336 Transportation equipment manufacturing,335,0.040167866
"Wood Buffalo, AB",213 Support activities for mining and oil and gas extraction,1790,0.040040264
"Wetaskiwin, AB",213 Support activities for mining and oil and gas extraction,250,0.039556962
"Alma, QC",331 Primary metal manufacturing,605,0.039529566
"Cowansville, QC",326 Plastics and rubber products manufacturing,235,0.038778878
"Chatham-Kent, ON",336 Transportation equipment manufacturing,1890,0.038717607
"Hawkesbury, ON",331 Primary metal manufacturing,160,0.038369305
