Sector,Demand decline,Demand creation,Carbon costs,Abatement,Cost pass-through
Coal mining,-0.99,0,-0.01,0,0.01
High-carbon power,0,0.23,-1.23,0,0.02
Heavy duty vehicle manufacturing,-0.83,0,-0.02,0.02,0
"Cement, concrete, aggregates",0,0,-0.96,0.04,0.15
Oil & gas exploration & production,-0.65,0,-0.33,0.01,0.3
Iron & steel,0,0,-1,0,0.38
"Auto manufacturing, parts etc.",-0.62,0.06,-0.1,0.08,0.01
Downstream & midstream O&G,-0.42,0,-0.49,0.07,0.34
Airlines,0,0,-0.85,0.03,0.46
Mining and mineral products,-0.03,0.02,-0.62,0.24,0.25
"Chemical, plastic and rubber materials",0,0,-0.59,0.2,0.27
Aluminum,0,0,-0.8,0.29,0.41
Uranium,0,0.46,-1.36,0.92,0.18
Solar and wind equipment,0,0.54,-0.38,0.35,0.03
Fuel cells,0,0.7,-0.31,0.23,0.06
Batteries & storage,0,0.76,-0.55,0.44,0.09
Biofuels,0,1.52,-1.53,0.54,0.92
Low-carbon power,0,0.23,-0.57,0.43,1.38
