2019 Goods Exports,Value ($B)
"Aircraft, and other transportation equipment and parts",28
"Basic and industrial chemical, plastic, and rubber products",34
Consumer goods,71
Electronic and electrical equipment and parts,30
Energy products,114
"Farm, fishing, and intermediate food products",38
Forestry products and building and packaging materials,42
"Industrial machinery, equipment, and parts",41
"Metals, ores, and non-metallic mineral products",65
"Metals, ores, and non-metallic minerals",21
Motor vehicles and parts,93
